year,product_chapter,importer,value_trln_USD
2011,10,KNA,0.00000000
2011,11,KNA,0.00000000
2011,12,KNA,0.00000000
2011,15,DOM,0.00000002
2011,15,KNA,0.00000000
2011,15,TTO,0.00000000
2011,16,KNA,0.00000000
2011,17,KNA,0.00000001
2011,18,KNA,0.00000000
2011,19,KNA,0.00000000
2011,19,DOM,0.00000000
2011,20,KNA,0.00000002
2011,21,KNA,0.00000008
2011,22,PAN,0.00000021
2011,22,KNA,0.00000013
2011,23,KNA,0.00000000
2011,24,KNA,0.00000013
2011,25,KNA,0.00000001
2011,27,USA,0.00000016
2011,27,KNA,0.00000000
2011,27,TTO,0.00000000
2011,28,KNA,0.00000000
2011,29,KNA,0.00000001
2011,29,TTO,0.00000000
2011,30,KNA,0.00000001
2011,30,DOM,0.00000000
2011,32,KNA,0.00000001
2011,32,TTO,0.00000000
2011,32,DOM,0.00000000
2011,33,KNA,0.00000010
2011,33,TTO,0.00000000
2011,34,KNA,0.00000003
2011,34,TTO,0.00000000
2011,35,KNA,0.00000001
2011,35,TTO,0.00000000
2011,36,KNA,0.00000000
2011,37,KNA,0.00000000
2011,38,TTO,0.00000002
2011,38,KNA,0.00000001
2011,39,KNA,0.00000003
2011,39,TTO,0.00000000
2011,39,BHS,0.00000000
2011,40,KNA,0.00000000
2011,40,MSR,0.00000000
2011,40,TTO,0.00000000
2011,40,DOM,0.00000000
2011,40,BHS,0.00000000
2011,41,KNA,0.00000000
2011,42,KNA,0.00000000
2011,42,TTO,0.00000000
2011,43,KNA,0.00000000
2011,44,KNA,0.00000001
2011,44,DOM,0.00000000
2011,44,TTO,0.00000000
2011,46,KNA,0.00000000
2011,47,KNA,0.00000000
2011,48,KNA,0.00000004
2011,48,BHS,0.00000000
2011,49,KNA,0.00000003
2011,49,TTO,0.00000000
2011,56,TTO,0.00000001
2011,56,KNA,0.00000000
2011,57,KNA,0.00000000
2011,58,KNA,0.00000000
2011,59,KNA,0.00000000
2011,61,KNA,0.00000000
2011,62,KNA,0.00000005
2011,62,USA,0.00000000
2011,63,KNA,0.00000001
2011,63,DOM,0.00000001
2011,63,TTO,0.00000000
2011,64,KNA,0.00000000
2011,65,KNA,0.00000001
2011,66,KNA,0.00000000
2011,67,KNA,0.00000003
2011,68,KNA,0.00000000
2011,68,DOM,0.00000000
2011,68,TTO,0.00000000
2011,69,KNA,0.00000002
2011,69,TTO,0.00000000
2011,70,KNA,0.00000002
2011,70,DOM,0.00000000
2011,71,USA,0.00000289
2011,71,KNA,0.00000119
2011,71,BHS,0.00000006
2011,72,DOM,0.00000002
2011,72,KNA,0.00000000
2011,72,TTO,0.00000000
2011,73,KNA,0.00000005
2011,73,USA,0.00000001
2011,73,TTO,0.00000000
2011,73,DOM,0.00000000
2011,73,BHS,0.00000000
2011,74,USA,0.00000039
2011,74,KNA,0.00000000
2011,74,TTO,0.00000000
2011,76,USA,0.00000015
2011,76,KNA,0.00000007
2011,76,DOM,0.00000000
2011,76,TTO,0.00000000
2011,78,USA,0.00000010
2011,79,TTO,0.00000000
2011,80,KNA,0.00000000
2011,81,KNA,0.00000000
2011,82,KNA,0.00000001
2011,82,TTO,0.00000000
2011,82,DOM,0.00000000
2011,83,TTO,0.00000000
2011,83,KNA,0.00000000
2011,83,DOM,0.00000000
2011,84,KNA,0.00000009
2011,84,TTO,0.00000001
2011,84,USA,0.00000001
