year,product_chapter,value_trln_USD,quantity_mln_metric_tons
1995,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00015082,0.04675162
1995,Cotton,0.00011192,0.05152367
1995,Tin; articles thereof,0.00008078,0.00026970
1995,Pharmaceutical products,0.00004694,0.01184644
1995,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00003849,0.03023373
1995,Other,0.00020316,0.25568011
1996,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00014035,0.05834064
1996,Cotton,0.00010793,0.05421524
1996,Copper and articles thereof,0.00006711,0.02836324
1996,Pharmaceutical products,0.00006409,0.01560910
1996,Tin; articles thereof,0.00006012,0.06535545
1996,Other,0.00023142,0.46347884
1997,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00014539,0.05872018
1997,Cotton,0.00014287,0.07877783
1997,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",0.00011320,0.03950983
1997,Pharmaceutical products,0.00009866,0.03505871
1997,Tin; articles thereof,0.00005757,0.07148281
1997,Other,0.00026353,0.51092995
1998,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00015830,0.05936192
1998,Pharmaceutical products,0.00013277,0.04342756
1998,Tin; articles thereof,0.00012233,0.12031567
1998,Cotton,0.00009081,0.05471025
1998,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00008608,0.02789655
1998,Other,0.00037212,0.51139295
1999,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00013351,0.06255175
1999,Tin; articles thereof,0.00011113,0.12501167
1999,Pharmaceutical products,0.00010944,0.03977516
1999,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",0.00009939,0.04037737
1999,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00006503,0.03376544
1999,Other,0.00033132,0.60680104
2000,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00022947,0.01031139
2000,Pharmaceutical products,0.00018342,0.04894329
2000,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00012845,0.06575221
2000,Tin; articles thereof,0.00007833,0.05133465
2000,Cotton,0.00006415,0.04203617
2000,Other,0.00030354,0.41220724
2001,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00030163,0.06428854
2001,Pharmaceutical products,0.00020576,0.06378705
2001,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00012232,0.07746599
2001,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",0.00006361,0.02646630
2001,Cotton,0.00005923,0.04184106
2001,Other,0.00029265,0.51512347
2002,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00035365,0.08056408
2002,Pharmaceutical products,0.00019687,0.05245013
2002,"Ores, slag and ash",0.00011811,0.03534896
2002,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00007832,0.06315518
2002,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",0.00006877,0.02744443
2002,Other,0.00035080,0.67618913
2003,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00061171,0.09521653
2003,Pharmaceutical products,0.00022300,0.08032731
2003,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00010377,0.08019016
2003,"Ores, slag and ash",0.00010085,0.02976991
2003,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",0.00008320,0.02998009
2003,Other,0.00050288,0.90391009
2004,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00066514,0.06718268
2004,Pharmaceutical products,0.00021626,0.06458005
2004,"Ores, slag and ash",0.00016321,0.05285530
2004,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00013349,0.50257400
2004,Cotton,0.00012194,0.09359029
2004,Other,0.00072294,0.95775765
2005,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00075293,0.08741608
2005,Pharmaceutical products,0.00021041,0.05291946
