year,product_chapter,value_trln_USD,quantity_mln_metric_tons
1995,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00001993,0.00005141
1995,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000591,0.00015859
1995,"Paper and paperboard; articles of paper pulp, of paper or paperboard",0.00000358,0.00181267
1995,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000178,0.00024880
1995,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00000114,0.00016014
1995,Other,0.00000478,0.00209714
1996,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00002322,0.00005611
1996,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000473,0.00034770
1996,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000407,0.00023107
1996,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00000200,0.00028787
1996,Food Related,0.00000100,0.00041134
1996,Other,0.00000438,0.00200060
1997,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00002651,0.00004892
1997,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000622,0.00031284
1997,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000248,0.00012807
1997,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00000175,0.01466983
1997,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",0.00000115,0.00003206
1997,Other,0.00000446,0.00313774
1998,Food Related,0.00000540,0.00736643
1998,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000154,0.00004175
1998,Apparel and clothing accessories; not knitted or crocheted,0.00000113,0.00000346
1998,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000051,0.00002457
1998,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00000050,0.00008517
1998,Other,0.00000252,0.00592760
1999,Food Related,0.00000159,0.00055173
1999,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000072,0.00003913
1999,"Ships, boats and floating structures",0.00000045,0.00230050
1999,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000037,0.00006028
1999,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00000035,0.00450669
1999,Other,0.00000208,0.00393151
2000,Organic chemicals,0.00000406,0.00600160
2000,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",0.00000112,0.00003214
2000,Food Related,0.00000094,0.00094746
2000,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000091,0.00039379
2000,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",0.00000066,0.00001411
2000,Other,0.00000245,0.00190623
2001,Food Related,0.00000070,0.00068888
